Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
CHC,Cubs,121,447,488,113,69,21,5,19,72,70,27,1,122,7,3,5,,24,7,0.253036,0.304399,0.446336,0.750735,0.322133,0.0551936,0.249266,0.221425,0.193301,7.51461,0.305489,0.0,,61.2275,3.59511,12.8336,1.32029,1.32029,3.77112,5.973436117172241,14.6420419216156,108.049,581.8,4.808264462,581.8,4.808264462,32.939998626708984,0.0052356,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
CHC,Cubs,121,465,511,131,95,24,3,9,65,57,33,1,47,9,4,0,,21,4,0.281543,0.338672,0.402357,0.741029,0.324425,0.0650025,0.0928085,0.700394,0.120814,6.03251,0.295997,0.0,,65.0934,4.71683,9.48878,1.6764,1.6764,3.69294,7.501647710800171,11.57628321647644,109.619,594.6,4.914049586,594.6,4.914049586,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17,NL,Nico Hoerner,663538,21479,21479
CLE,Guardians,119,448,507,118,68,27,2,21,71,69,55,14,61,3,3,0,,25,5,0.26386,0.345527,0.475581,0.821109,0.345014,0.107408,0.12088,0.888554,0.211721,5.83077,0.263503,0.0,,73.1308,13.168,3.19913,2.47307,2.47307,3.64249,16.46661353111267,1.6520134210586548,123.396,707.4,5.944537815,707.4,5.944537815,6.28000020980835,0.17435897,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
TEX,Rangers,109,402,456,106,63,21,3,19,64,62,49,2,102,3,2,0,,15,3,0.264113,0.34664,0.474411,0.821051,0.352932,0.106532,0.223581,0.476481,0.210298,6.06365,0.30761,0.0,,68.6842,14.7723,7.31878,0.893677,0.893677,3.58748,16.52705305814743,2.818082332611084,129.071,624.3,5.727522935,624.3,5.727522935,37.75,0.01156069,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
TOR,Blue Jays,121,457,524,136,88,27,0,21,73,75,59,8,69,5,3,0,,4,1,0.297832,0.382531,0.493522,0.876053,0.3747,0.112999,0.131317,0.860507,0.195691,2.90265,0.31148,0.0,,88.1261,26.2217,0.0318009,-0.634272,-0.634272,3.52735,26.081069886684418,-9.65387474372983,143.264,777.1,6.422314049,777.1,6.422314049,18.049999237060547,0.14659686,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
NYY,Yankees,114,431,480,117,74,22,3,18,68,73,43,2,70,3,3,0,,10,3,0.271742,0.338922,0.462728,0.801649,0.34456,0.0892377,0.144882,0.615936,0.190985,5.18397,0.285214,0.0,,69.0587,12.2896,8.51963,0.222201,0.222201,3.52028,13.261528715491295,4.593801021575928,123.027,622.9,5.464035087,622.9,5.464035087,80.98999786376953,0.0,1B/OF,/players/cody-bellinger/15998/stats/batting,9,AL,Cody Bellinger,641355,15998,15998
ARI,Diamondbacks,121,399,475,106,72,19,4,10,66,51,60,1,62,5,3,8,,18,5,0.26458,0.365353,0.409989,0.775342,0.342048,0.127043,0.131154,0.968655,0.145409,6.41039,0.289579,0.0,,67.3687,11.1915,1.00339,0.57767,0.57767,3.4164,11.235926330089569,6.322638034820557,118.914,581.7,4.807438016,581.7,4.807438016,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
BAL,Orioles,101,371,420,96,60,21,1,14,49,52,44,1,66,2,2,0,,1,0,0.25898,0.339422,0.436388,0.77581,0.336912,0.105522,0.15717,0.671388,0.177409,2.3786,0.279069,0.0,,57.7463,8.13302,4.69354,-0.553641,-0.553641,3.36354,8.391055226325989,10.018674850463867,118.074,504.7,4.997029702,504.7,4.997029702,148.92999267578125,0.18181818,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ATL,Braves,97,363,435,102,63,18,2,19,77,53,64,3,90,6,3,0,,20,5,0.280693,0.393775,0.494821,0.888596,0.383307,0.147153,0.207853,0.707965,0.214128,6.14045,0.324254,0.0,,76.261,24.828,-2.86685,1.02299,1.02299,3.35814,25.627588629722595,-7.301280736923218,147.692,684.4,7.055670103,684.4,7.055670103,5.260000228881836,0.03875969,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
HOU,Astros,94,339,397,100,56,21,1,23,56,63,50,9,65,6,2,0,,2,1,0.296545,0.393534,0.564,0.957534,0.401265,0.126366,0.164089,0.770104,0.267455,2.7425,0.306597,0.0,,75.2925,28.4141,-0.355463,-0.586928,-0.586928,3.35596,28.18772864341736,-9.054677218198776,161.536,672.8,7.157446808,672.8,7.157446808,33.38999938964844,0.7195122,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
