Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
HOU,Astros,98,358,424,108,61,22,1,24,66,66,56,10,67,6,3,1,,2,1,0.300892,0.401926,0.568853,0.970779,0.406338,0.132949,0.158502,0.83878,0.267961,3.09682,0.310209,-0.565806,,82.1394,32.0843,-0.151557,-0.598827,-1.16463,3.79263,31.30464279651642,-8.831186443567276,165.03,728.9,7.437755102,728.9,7.437755102,33.38999938964844,0.7125,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541,19556,19556
ATL,Braves,120,432,518,120,76,21,2,21,87,61,75,3,106,6,3,1,,23,6,0.277533,0.389378,0.482516,0.871894,0.377159,0.144493,0.205433,0.703361,0.204983,5.95609,0.320964,0.940042,,88.2317,26.98,-2.76245,1.10349,2.04354,3.79177,28.757568836212158,-8.95365047454834,143.48,779.6,6.496666666,779.6,6.496666666,5.260000228881836,0.0390625,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401
ARI,Diamondbacks,119,446,515,114,63,21,10,20,81,70,58,2,115,7,3,1,,25,5,0.256213,0.348072,0.485685,0.833757,0.35707,0.111736,0.222615,0.501926,0.229472,8.00186,0.298903,1.7962,,79.2713,18.4077,3.30268,2.15878,3.95498,3.77307,21.78499960899353,-2.0545735359191895,129.205,726.8,6.107563025,726.8,6.107563025,14.100000381469727,0.03468208,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998,25878,25878
MIL,Brewers,124,433,498,119,79,24,1,15,66,64,59,3,89,3,3,0,,4,1,0.274214,0.362113,0.438417,0.80053,0.348197,0.118269,0.179251,0.659793,0.164204,3.19957,0.311991,-0.460399,,73.1168,14.2214,0.551062,-0.650065,-1.11046,3.76335,13.579186201095581,6.757389605045319,124.866,640.5,5.16532258,640.5,5.16532258,56.560001373291016,0.13736264,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388,20503,20503
TBR,Rays,124,490,538,131,76,22,1,32,73,89,40,1,101,3,4,1,,4,1,0.26801,0.325026,0.513158,0.838184,0.356532,0.0739604,0.187643,0.394155,0.245148,3.21329,0.275161,-0.0686287,,82.5211,18.9822,-2.19057,-0.470211,-0.538839,3.66078,18.00825321674347,-0.7552287578582764,129.263,747.7,6.029838709,747.7,6.029838709,16.479999542236328,0.03225806,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406,28163,28163
DET,Tigers,119,446,513,119,72,29,4,14,72,59,59,0,69,3,3,2,,9,3,0.265636,0.353217,0.439855,0.793072,0.345884,0.114116,0.134903,0.84591,0.174219,5.3238,0.286561,0.330559,,74.2615,13.6685,-0.403848,-0.497004,-0.166445,3.62508,13.468762516975403,4.2943004965782166,122.559,653.6,5.492436974,653.6,5.492436974,999.0,0.0,3B/SS,/players/kevin-mcgonigle/33572/stats/batting,6.0,AL,Kevin McGonigle,805808,33572,33572
CHC,Cubs,120,473,517,119,72,23,4,20,70,71,30,1,127,7,3,3,,27,8,0.251436,0.303458,0.441506,0.744964,0.319718,0.057259,0.245511,0.233223,0.19007,7.24295,0.301264,0.661067,,63.8586,2.79582,10.306,1.37145,2.03252,3.6121,5.949344635009766,12.15166163444519,106.395,610.8,5.09,610.8,5.09,32.939998626708984,0.00529101,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718,27769,27769
ARI,Diamondbacks,118,444,509,120,73,24,2,21,74,65,56,4,85,5,3,1,,4,1,0.269937,0.355822,0.474231,0.830052,0.3566,0.10916,0.166826,0.654333,0.204294,3.96816,0.289863,-0.0659008,,78.2058,18.011,0.118585,-0.468789,-0.53469,3.53062,16.904995799064636,0.6442019939422607,128.883,694.2,5.883050847,694.2,5.883050847,32.63999938964844,0.17532468,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466,13613,13613
CHC,Cubs,124,483,534,136,100,25,2,9,67,54,37,1,50,9,4,1,,22,5,0.281771,0.340923,0.39632,0.737243,0.323694,0.0686106,0.093885,0.730793,0.114549,5.6931,0.297985,0.631654,,67.6632,4.60932,6.46179,1.52399,2.15564,3.49243,7.9225287437438965,8.447903156280518,109.118,612.9,4.942741935,612.9,4.942741935,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17.0,NL,Nico Hoerner,663538,21479,21479
LAD,Dodgers,121,444,522,115,69,22,1,23,78,76,72,4,83,3,4,1,,16,3,0.260163,0.363782,0.472544,0.836326,0.36012,0.137004,0.158335,0.865276,0.212381,5.23502,0.270557,-0.00414301,,81.6889,19.9624,-0.45031,1.07837,1.07423,3.3475,21.375406980514526,-6.047532737255096,132.788,732.7,6.0553719,732.7,6.0553719,13.130000114440918,0.11585366,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656,18345,18345
SFG,Giants,125,468,539,114,68,25,2,18,68,63,62,1,130,6,3,0,,6,2,0.243132,0.336933,0.42569,0.762623,0.33299,0.114325,0.241681,0.473041,0.182557,4.29722,0.29562,-0.0374248,,72.4459,8.72826,2.93936,-0.598653,-0.636078,3.32136,9.646120369434357,4.865290641784668,116.088,633.3,5.0664,633.3,5.0664,163.6199951171875,0.00625,3B,/players/matt-chapman/16505/stats/batting,30.0,NL,Matt Chapman,656305,16505,16505
TEX,Rangers,112,421,483,108,65,21,3,18,66,61,54,2,108,4,3,1,,16,4,0.257245,0.345576,0.453319,0.798895,0.345368,0.112616,0.224107,0.502512,0.196073,5.9615,0.302611,0.458134,,69.754,12.6736,3.86341,0.677869,1.136,3.29646,14.721268057823181,0.8541491031646729,123.86,624.2,5.573214285,624.2,5.573214285,37.75,0.01156069,OF,/players/wyatt-langford/33333/stats/batting,13.0,AL,Wyatt Langford,694671,33333,33333
PHI,Phillies,121,476,522,132,90,24,3,15,73,56,37,1,96,4,3,1,,20,3,0.276179,0.332365,0.430425,0.76279,0.331082,0.0715368,0.184595,0.387533,0.154246,6.12667,0.31752,1.13756,,69.3726,7.64616,-0.445631,1.7689,2.90647,3.28639,9.578971862792969,5.151591390371323,110.777,643.5,5.318181818,643.5,5.318181818,26.780000686645508,0.00584795,SS,/players/trea-turner/16252/stats/batting,26.0,NL,Trea Turner,607208,16252,16252
SDP,Padres,122,481,526,126,78,25,4,19,66,71,36,2,107,3,3,2,,8,3,0.261028,0.315565,0.446995,0.76256,0.327292,0.069259,0.202403,0.342184,0.185967,4.97809,0.297305,0.882669,,68.2862,6.08487,3.64364,-0.200384,0.682285,3.275,9.123471081256866,5.362006306648254,113.529,622.3,5.100819672,622.3,5.100819672,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29.0,NL,Jackson Merrill,701538,29490,29490
TEX,Rangers,105,395,455,102,61,20,0,21,61,62,53,8,90,4,3,0,,2,0,0.258739,0.348845,0.468222,0.817067,0.347885,0.115501,0.197797,0.583939,0.209483,2.63648,0.283314,-0.722342,,66.6286,12.8668,0.274483,-0.441863,-1.16421,3.27225,12.561250925064087,3.745162010192871,125.594,606.4,5.775238095,606.4,5.775238095,95.08999633789062,0.03759398,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624
BAL,Orioles,108,380,434,99,62,21,1,14,53,54,49,1,67,2,3,0,,1,0,0.259513,0.345508,0.433021,0.778529,0.338908,0.113267,0.155275,0.729461,0.173508,2.46686,0.280039,-0.289167,,60.4537,9.11932,1.9511,-0.645632,-0.934798,3.22394,9.024357616901398,6.1841230392456055,119.449,527.5,4.884259259,527.5,4.884259259,148.92999267578125,0.18518519,C/DH,/players/adley-rutschman/26288/stats/batting,2.0,AL,Adley Rutschman,668939,26288,26288
NYM,Mets,124,491,534,138,96,27,1,14,66,64,35,1,90,3,4,1,,5,2,0.28204,0.331427,0.42932,0.760747,0.329688,0.066194,0.169429,0.390689,0.14728,3.58832,0.31842,0.174718,,70.2606,7.20666,3.03364,-0.785335,-0.610617,3.17278,8.707885444164276,4.538268566131592,114.733,615.3,4.962096774,615.3,4.962096774,92.86000061035156,0.04651163,SS,/players/bo-bichette/19612/stats/batting,25.0,NL,Bo Bichette,666182,19612,19612
