Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
SDP,Padres,7,6,19,20,,,,104.0,442,93,48,44,13,110,41,,7,3.82705,1.29678,9.56339,3.57103,2.67805,1.16131,0.24875,0.0928849,0.15586547553539276,,0.236113,0.294251,0.74774,4.06741,443.90000000000003,4.268269230769231,427.0,4.105769230769231,1.52725,1.54634,129.55999755859375,29,NL,Michael King,650633,19853,19853
DET,Tigers,7,8,22,23,,,,115.0,496,105,62,57,16,128,49,,7,4.47005,1.34743,10.0635,3.88017,2.59358,1.25016,0.258551,0.0996886,0.15886196494102478,,0.239193,0.30205,0.700432,4.18645,469.20000000000005,4.08,455.0,3.9565217391304346,1.51696,0.880633,209.0,6,AL,Jack Flaherty,656427,17479,17479
CIN,Reds,5,6,20,20,,,,97.0,413,96,52,48,11,76,30,,4,4.43977,1.29993,7.05512,2.75367,2.56208,1.00699,0.183784,0.0717323,0.11205127835273743,,0.253472,0.291536,0.668008,4.05372,382.9,3.947422680412371,392.0,4.041237113402062,1.48588,1.13982,552.219970703125,18,NL,Rhett Lowder,695076,33876,33876
SDP,Padres,3,1,0,49,,,,53.0,203,28,13,12,4,90,17,,1,2.04949,0.865881,15.38,2.94803,5.21705,0.754147,0.442825,0.0848804,0.3579450994729996,,0.153649,0.265668,0.826054,1.87315,396.20000000000005,7.475471698113209,339.0,6.39622641509434,1.47403,1.5013,27.860000610351562,29,NL,Mason Miller,695243,31757,31757
MIN,Twins,6,6,19,21,,,,100.0,431,94,49,45,11,98,40,,5,4.09178,1.33974,8.81034,3.6145,2.4375,0.980909,0.227012,0.0931331,0.1338788941502571,,0.243137,0.299272,0.71226,3.95553,421.30000000000007,4.213000000000001,418.0,4.18,1.46535,1.27872,298.7799987792969,8,AL,Mick Abel,690953,27756,27756
CHW,White Sox,5,7,20,21,,,,106.0,453,104,55,51,13,86,34,,5,4.30415,1.30708,7.27727,2.90642,2.50386,1.07728,0.189213,0.0755684,0.11364433169364929,,0.252064,0.290466,0.690876,4.18125,409.10000000000014,3.859433962264152,416.0,3.9245283018867925,1.46261,1.02692,999.0,4,AL,Davis Martin,663436,21448,21448
KCR,Royals,6,6,20,22,,,,118.0,504,117,58,54,15,98,38,,4,4.09317,1.3142,7.49501,2.91841,2.56818,1.16328,0.194509,0.0757381,0.11877117305994034,,0.252149,0.290382,0.723458,4.21622,454.50000000000006,3.851694915254238,465.0,3.940677966101695,1.45825,1.62287,493.1000061035156,7,AL,Seth Lugo,607625,12447,12447
TOR,Blue Jays,6,4,10,43,,,,88.0,365,80,37,34,10,89,24,,3,3.4562,1.17892,9.07768,2.47449,3.66851,1.05268,0.242988,0.0662362,0.17675191164016724,,0.235252,0.289663,0.750125,3.5635,417.20000000000005,4.740909090909091,407.0,4.625,1.42555,1.37644,999.0,14,AL,Louis Varland,686973,27691,27691
ATH,Athletics,6,8,21,21,,,,118.0,512,117,66,60,15,100,43,,8,4.58627,1.34975,7.60551,3.25225,2.33853,1.11114,0.195717,0.0836923,0.11202502995729446,,0.25439,0.296532,0.676226,4.34719,431.50000000000006,3.65677966101695,442.0,3.7457627118644066,1.42169,0.842138,642.52001953125,10,AL,Luis Severino,622663,15890,15890
SFG,Giants,7,5,17,20,,,,90.0,386,82,40,37,8,90,36,,3,3.66057,1.31644,8.95733,3.61366,2.47874,0.788192,0.232035,0.0936097,0.13842476159334183,,0.237557,0.298837,0.732383,3.59677,417.40000000000003,4.637777777777778,409.0,4.544444444444444,1.41984,1.54376,690.0999755859375,30,NL,Landen Roupp,694738,30076,30076
CHC,Cubs,5,4,11,22,,,,83.0,348,74,40,36,9,89,28,,3,3.96678,1.24231,9.68687,3.09692,3.12791,1.0083,0.255219,0.081594,0.17362450808286667,,0.234035,0.296717,0.703138,3.57687,396.1,4.772289156626506,383.0,4.614457831325301,1.40523,1.00803,733.6500244140625,17,NL,Ben Brown,676962,23590,23590
MIA,Marlins,5,7,17,22,,,,102.0,434,110,54,50,13,74,22,,3,4.38817,1.29357,6.50672,1.93159,3.36858,1.12044,0.169836,0.0504178,0.11941864341497421,,0.269165,0.301943,0.682223,4.05263,381.9000000000001,3.7441176470588244,414.0,4.0588235294117645,1.39192,1.02472,999.0,20,NL,Janson Junk,676083,23301,23301
LAD,Dodgers,4,3,15,20,,,,77.0,322,65,39,36,10,87,28,,4,4.17197,1.20104,10.202,3.26709,3.12264,1.17893,0.271343,0.0868953,0.18444755673408508,,0.222845,0.283262,0.685088,3.82177,355.80000000000007,4.620779220779221,333.0,4.324675324675325,1.38111,0.871366,111.20999908447266,22,NL,Emmet Sheehan,686218,29839,29839
TBR,Rays,6,6,19,21,,,,91.0,398,76,46,43,9,102,50,,5,4.1949,1.38188,10.0455,4.95358,2.02793,0.92221,0.256033,0.126254,0.12977953255176544,,0.221568,0.287684,0.706743,4.05515,404.0999999999999,4.44065934065934,377.0,4.142857142857143,1.37936,1.02475,713.1400146484375,12,AL,Joe Boyle,671212,29608,29608
CHW,White Sox,5,6,22,22,,,,108.0,455,92,55,50,13,105,43,,10,4.19346,1.25176,8.74293,3.61529,2.41832,1.07631,0.230025,0.0951177,0.13490735739469528,,0.227967,0.276918,0.687337,4.22984,451.1000000000001,4.176851851851852,422.0,3.9074074074074074,1.37719,1.1624,245.5399932861328,4,AL,Shane Smith,681343,31687,31687
LAD,Dodgers,6,5,13,25,,,,94.0,401,92,49,45,11,83,30,,3,4.34142,1.29407,7.91758,2.88774,2.74179,1.04262,0.206377,0.075271,0.13110651075839996,,0.249198,0.294648,0.680054,3.95379,388.09999999999997,4.128723404255319,394.0,4.191489361702128,1.35531,0.83478,650.3499755859375,22,NL,Justin Wrobleski,680736,31204,31204
MIA,Marlins,6,7,22,22,,,,96.0,404,84,50,46,14,100,35,,3,4.35098,1.23533,9.39119,3.27887,2.86415,1.31774,0.247909,0.0865557,0.16135292500257492,,0.228548,0.276438,0.688941,4.14561,405.80000000000007,4.227083333333334,384.0,4.0,1.35277,1.09973,78.6500015258789,20,NL,Eury Pérez,691587,27768,27768
CHC,Cubs,6,5,21,21,,,,109.0,458,92,52,48,13,113,43,,6,3.92715,1.23462,9.30829,3.54316,2.62712,1.10826,0.24578,0.0935551,0.1522253230214119,,0.223596,0.275697,0.715788,4.00864,486.49999999999994,4.463302752293577,455.0,4.174311926605505,1.35069,1.5615,174.72000122070312,17,NL,Edward Cabrera,665795,21690,21690
PIT,Pirates,6,7,22,23,,,,105.0,455,97,54,49,12,102,45,,8,4.21022,1.34156,8.69908,3.82241,2.27581,1.04863,0.224072,0.0984581,0.1256139650940895,,0.240326,0.292954,0.706933,4.21258,422.2,4.020952380952381,414.0,3.942857142857143,1.33337,1.29121,150.00999450683594,27,NL,Bubba Chandler,696149,29868,29868
CLE,Guardians,4,4,16,26,,,,90.0,385,79,42,38,11,100,39,,2,3.85602,1.31466,9.99767,3.92438,2.54758,1.07445,0.258853,0.101607,0.15724551677703857,,0.229191,0.291639,0.739817,3.83906,402.30000000000007,4.470000000000001,384.0,4.266666666666667,1.30959,1.20134,270.80999755859375,5,AL,Joey Cantillo,676282,23335,23335
MIN,Twins,5,6,21,23,,,,108.0,470,107,59,55,15,91,40,,2,4.53088,1.36099,7.58786,3.34195,2.27049,1.22721,0.194755,0.0857766,0.10897845029830933,,0.251336,0.288459,0.695485,4.39582,392.50000000000006,3.63425925925926,401.0,3.712962962962963,1.30555,0.768446,664.0399780273438,8,AL,Simeon Woods Richardson,680573,24494,24494
MIL,Brewers,5,6,20,26,,,,113.0,481,108,62,57,17,104,38,,4,4.52061,1.29426,8.30271,3.01378,2.75492,1.33167,0.216332,0.0785256,0.13780613243579865,,0.246632,0.287793,0.688331,4.33681,428.3,3.790265486725664,426.0,3.769911504424779,1.2983,0.790482,288.6499938964844,23,NL,Chad Patrick,694477,30113,30113
MIL,Brewers,4,4,20,23,,,,96.0,405,83,48,44,13,107,37,,7,4.16785,1.26027,10.0729,3.48922,2.88686,1.2225,0.264161,0.0915047,0.17265662550926208,,0.230982,0.292053,0.707321,4.03998,416.7000000000001,4.340625000000001,393.0,4.09375,1.28711,1.16993,446.55999755859375,23,NL,Kyle Harrison,690986,27758,27758
COL,Rockies,5,9,20,20,,,,106.0,464,122,62,57,15,80,28,,6,4.83754,1.4171,6.81648,2.4012,2.83878,1.27914,0.172813,0.0608758,0.11193745583295822,,0.283208,0.318824,0.68372,4.43111,340.7000000000001,3.2141509433962274,393.0,3.707547169811321,1.28419,1.21067,999.0,19,NL,Kyle Freeland,607536,16256,16256
STL,Cardinals,7,7,17,19,,,,102.0,429,93,50,46,11,86,33,,8,4.08705,1.23624,7.5874,2.92413,2.59476,0.984534,0.200576,0.0773006,0.12327572703361511,,0.239643,0.281339,0.685662,4.07185,426.7,4.183333333333334,416.0,4.078431372549019,1.27809,1.27844,414.6700134277344,28,NL,Dustin May,669160,19716,19716
KCR,Royals,6,7,23,23,,,,118.0,505,117,62,57,17,101,37,,4,4.35369,1.30218,7.70325,2.82707,2.72482,1.32201,0.200444,0.0735622,0.12688162177801132,,0.251742,0.287866,0.708024,4.36845,438.90000000000003,3.719491525423729,448.0,3.7966101694915255,1.26584,1.24444,298.0,7,AL,Noah Cameron,702070,30184,30184
BOS,Red Sox,6,6,19,21,,,,95.0,406,88,49,45,11,95,36,,10,4.25815,1.31829,9.01143,3.46883,2.59783,1.0306,0.233323,0.0898147,0.14350826293230057,,0.245189,0.304346,0.694334,4.08125,390.90000000000003,4.1147368421052635,384.0,4.042105263157895,1.26164,1.12862,266.4800109863281,3,AL,Connelly Early,813349,33666,33666
PHI,Phillies,8,2,0,52,,,,52.0,209,40,15,14,2,64,15,,3,2.42558,1.0529,11.0731,2.55088,4.34091,0.382632,0.305193,0.0703062,0.23488666862249374,,0.208457,0.300594,0.765022,2.24748,330.19999999999993,6.349999999999999,308.0,5.923076923076923,1.25635,1.31188,41.84000015258789,26,NL,Jhoan Duran,661395,21029,21029
BAL,Orioles,5,6,18,20,,,,98.0,423,96,52,48,13,93,36,,2,4.36685,1.34551,8.58039,3.32045,2.5841,1.19684,0.220833,0.0854584,0.1353749930858612,,0.248762,0.297105,0.705674,4.13148,387.70000000000005,3.9561224489795923,393.0,4.010204081632653,1.25183,0.732168,999.0,2,AL,Cade Povich,700249,30055,30055
BOS,Red Sox,8,9,24,25,,,,130.0,563,130,70,65,17,108,48,,7,4.48632,1.37018,7.499,3.29626,2.275,1.14911,0.192078,0.0844297,0.10764788836240768,,0.256017,0.295987,0.695261,4.37836,465.9,3.5838461538461535,480.0,3.6923076923076925,1.24924,1.27087,421.4100036621094,3,AL,Brayan Bello,678394,23920,23920
TOR,Blue Jays,5,5,17,17,,,,96.0,404,89,49,45,14,94,30,,4,4.22891,1.24417,8.85282,2.81281,3.14732,1.31223,0.233316,0.0741316,0.15918439626693726,,0.241042,0.287263,0.705193,4.11599,392.80000000000007,4.091666666666668,384.0,4.0,1.24642,0.979065,250.02000427246094,14,AL,Cody Ponce,664074,17920,17920
WSN,Nationals,4,5,19,19,,,,87.0,375,82,44,41,8,79,33,,9,4.19803,1.31892,8.18301,3.42149,2.39165,0.823062,0.211998,0.088641,0.12335725873708725,,0.246954,0.302537,0.68177,3.96802,364.2000000000001,4.186206896551726,363.0,4.172413793103448,1.2389,1.06767,305.2200012207031,24,NL,Cade Cavalli,676917,27473,27473
PHI,Phillies,5,6,20,20,,,,94.0,406,92,53,49,14,90,35,,1,4.66895,1.35082,8.60481,3.33316,2.58157,1.29872,0.221183,0.0856775,0.13550525158643723,,0.248928,0.294594,0.685009,4.25046,356.2000000000001,3.789361702127661,360.0,3.8297872340425534,1.2259,0.693142,999.0,26,NL,Andrew Painter,691725,30091,30091
BOS,Red Sox,3,3,16,21,,,,78.0,325,72,39,36,11,85,22,,4,4.12306,1.21336,9.86616,2.59111,3.80769,1.32622,0.261713,0.0687327,0.19298037886619568,,0.240132,0.298081,0.710392,3.86256,346.7000000000001,4.444871794871796,339.0,4.346153846153846,1.22051,1.01948,673.0,3,AL,Payton Tolle,801139,35466,35466
TBR,Rays,5,6,14,27,,,,96.0,402,88,49,45,14,95,28,,6,4.20156,1.20818,8.85243,2.60881,3.39329,1.28876,0.235333,0.0693527,0.165980763733387,,0.240205,0.287482,0.695386,4.09928,397.40000000000003,4.139583333333333,386.0,4.020833333333333,1.17553,0.902309,521.1400146484375,12,AL,Ian Seymour,693855,27932,27932
MIL,Brewers,6,5,15,16,,,,71.0,296,63,36,33,10,73,22,,2,4.15563,1.20485,9.26477,2.80517,3.30275,1.32109,0.246401,0.0746046,0.17179592698812485,,0.232917,0.280752,0.703421,4.01396,312.59999999999997,4.402816901408451,299.0,4.211267605633803,1.17204,0.825389,413.3999938964844,23,NL,Logan Henderson,701656,31475,31475
SFG,Giants,7,7,23,23,,,,125.0,532,115,61,57,18,125,46,,4,4.08268,1.29304,9.03813,3.35013,2.69784,1.30631,0.235407,0.0872575,0.14814932644367218,,0.23865,0.286326,0.734021,4.23632,504.6,4.0368,491.0,3.928,1.17121,1.60801,166.44000244140625,30,NL,Robbie Ray,592662,11486,11486
BAL,Orioles,4,4,14,26,,,,85.0,374,91,43,40,11,81,29,,3,4.19192,1.4112,8.53154,3.07163,2.77752,1.16243,0.216265,0.0778625,0.13840241730213165,,0.266972,0.321026,0.735489,4.04551,323.1,3.8011764705882354,348.0,4.094117647058823,1.17048,0.743962,999.0,2,AL,Dietrich Enns,608650,13932,13932
BAL,Orioles,7,8,23,25,,,,126.0,549,130,68,63,16,107,47,,10,4.4805,1.40432,7.69938,3.34007,2.30516,1.16759,0.195622,0.0848627,0.1107591986656189,,0.26324,0.307331,0.705979,4.45532,440.60000000000014,3.4968253968253977,465.0,3.6904761904761907,1.17029,0.832078,359.3599853515625,2,AL,Chris Bassitt,605135,12304,12304
CHC,Cubs,6,5,19,20,,,,93.0,388,83,45,42,12,83,28,,4,4.01473,1.18636,7.97958,2.69383,2.96218,1.17178,0.213424,0.0720497,0.14137417823076248,,0.232452,0.270378,0.698636,4.06917,394.8,4.245161290322581,379.0,4.075268817204301,1.16759,1.25605,177.7100067138672,17,NL,Cade Horton,690990,31872,31872
ATH,Athletics,4,3,10,19,,,,67.0,281,56,30,28,7,72,27,,5,3.78673,1.24555,9.72016,3.69131,2.63325,0.893496,0.25589,0.0971763,0.15871331840753555,,0.224073,0.288793,0.71231,3.74283,312.0999999999999,4.65820895522388,292.0,4.358208955223881,1.16707,1.12654,999.0,10,AL,Jack Perkins,678022,31468,31468
CHW,White Sox,3,2,8,40,,,,49.0,205,43,19,18,4,55,16,,0,3.24539,1.19767,10.0992,2.92187,3.45643,0.666817,0.268855,0.0777839,0.19107087701559067,,0.226811,0.301155,0.736525,2.828,263.6,5.379591836734694,255.0,5.204081632653061,1.15897,0.928365,506.67999267578125,4,AL,Grant Taylor,691799,33927,33927
HOU,Astros,6,7,18,23,,,,109.0,470,102,59,54,16,110,45,,7,4.47272,1.34914,9.13426,3.73674,2.44444,1.36031,0.234775,0.0960441,0.13873040676116943,,0.242732,0.291917,0.711148,4.49605,408.59999999999997,3.7486238532110088,401.0,3.6788990825688073,1.15259,0.714655,725.9600219726562,21,AL,Ryan Weiss,680802,24621,24621
BAL,Orioles,6,7,20,21,,,,113.0,484,112,61,56,18,100,36,,3,4.44537,1.30888,7.99461,2.83508,2.81989,1.39892,0.207642,0.073635,0.13400745391845703,,0.252447,0.289793,0.707433,4.40226,406.6000000000001,3.598230088495576,414.0,3.663716814159292,1.15224,0.753589,999.0,2,AL,Dean Kremer,665152,19350,19350
HOU,Astros,4,4,20,24,,,,100.0,421,90,50,46,15,101,35,,3,4.16527,1.25644,9.12478,3.1331,2.91238,1.38453,0.239721,0.0823109,0.15740973502397537,,0.236126,0.281622,0.723668,4.2551,409.5,4.095,393.0,3.93,1.14041,1.08977,237.9499969482422,21,AL,Mike Burrows,681347,24728,24728
ATL,Braves,6,4,14,28,,,,85.0,360,76,39,35,10,87,31,,2,3.75484,1.26029,9.19557,3.30761,2.78013,1.0699,0.241343,0.0868101,0.1545330137014389,,0.232331,0.286408,0.737577,3.80956,383.4,4.510588235294118,370.0,4.352941176470588,1.13998,1.33162,302.9100036621094,16,NL,Reynaldo López,625643,16400,16400
CLE,Guardians,6,3,0,56,,,,57.0,231,43,20,18,4,74,17,,4,2.83972,1.05871,11.6329,2.70271,4.30418,0.647416,0.319987,0.0743432,0.2456435039639473,,0.206299,0.296946,0.747129,2.5745,345.79999999999995,6.0666666666666655,318.0,5.578947368421052,1.13814,0.952452,39.90999984741211,5,AL,Cade Smith,671922,27867,27867
ATH,Athletics,5,6,17,22,,,,91.0,395,82,49,45,12,95,42,,5,4.42055,1.36793,9.37504,4.15935,2.25397,1.228,0.23986,0.106417,0.13344326615333557,,0.236856,0.290747,0.708678,4.38147,361.59999999999997,3.9736263736263733,348.0,3.8241758241758244,1.13548,0.782398,409.239990234375,10,AL,Jacob Lopez,682052,25098,25098
ARI,Diamondbacks,7,6,21,21,,,,120.0,510,118,59,54,18,102,37,,1,4.09972,1.29448,7.71214,2.80303,2.75136,1.33792,0.20104,0.0730691,0.12797044962644577,,0.249598,0.284487,0.735803,4.32553,449.8,3.7483333333333335,456.0,3.8,1.13074,1.7067,284.17999267578125,15,NL,Merrill Kelly,518876,11156,11156
MIN,Twins,4,4,15,18,,,,78.0,334,81,39,36,9,63,22,,2,4.18748,1.31504,7.22373,2.52716,2.85843,1.06567,0.187477,0.0655874,0.12188988924026489,,0.260348,0.300126,0.704192,3.99529,309.9,3.9730769230769227,327.0,4.1923076923076925,1.12094,0.903309,999.0,8,AL,Andrew Morris,702193,31891,31891
NYY,Yankees,4,4,16,17,,,,81.0,343,76,43,40,11,79,28,,3,4.40857,1.28635,8.7613,3.14641,2.78454,1.18635,0.228615,0.0821015,0.14651363343000412,,0.241895,0.290878,0.684252,4.05867,331.4999999999999,4.092592592592591,327.0,4.037037037037037,1.11104,0.624455,232.55999755859375,9,AL,Ryan Weathers,677960,23796,23796
WSN,Nationals,6,9,19,23,,,,107.0,469,111,61,56,13,80,40,,2,4.74507,1.41383,6.7328,3.36917,1.99835,1.08235,0.170832,0.0854867,0.08534581959247589,,0.260768,0.294822,0.675053,4.38092,377.30000000000007,3.526168224299066,400.0,3.7383177570093458,1.1085,0.584851,999.0,24,NL,Mitchell Parker,680730,27636,27636
CHW,White Sox,5,8,18,23,,,,107.0,463,103,59,54,15,99,44,,4,4.56786,1.37544,8.37632,3.68871,2.2708,1.30026,0.214122,0.0942935,0.11982840299606323,,0.247734,0.290917,0.702167,4.49864,393.50000000000006,3.6775700934579443,394.0,3.682242990654206,1.10745,0.641908,748.5599975585938,4,AL,Sean Burke,680732,29878,29878
COL,Rockies,5,8,17,20,,,,95.0,413,93,56,51,12,90,39,,9,4.85178,1.3907,8.51411,3.69551,2.3039,1.18583,0.21685,0.0941227,0.12272701412439346,,0.254008,0.305076,0.667146,4.46806,349.59999999999997,3.6799999999999997,355.0,3.736842105263158,1.0893,1.0141,743.4400024414062,19,NL,Chase Dollander,801403,33482,33482
DET,Tigers,6,7,18,24,,,,103.0,443,104,55,50,14,84,34,,4,4.40032,1.33727,7.34553,2.96014,2.48148,1.23483,0.189624,0.0764156,0.11320832371711731,,0.256391,0.292381,0.703669,4.4001,373.6,3.627184466019418,387.0,3.7572815533980584,1.05328,0.785811,999.0,6,AL,Keider Montero,672456,22630,22630
BAL,Orioles,6,6,17,17,,,,91.0,380,94,47,43,14,74,17,,1,4.25553,1.22379,7.3024,1.71119,4.26744,1.43926,0.193671,0.0453834,0.14828767254948616,,0.25951,0.290104,0.709904,4.21034,350.80000000000007,3.854945054945056,367.0,4.032967032967033,1.0513,0.831029,395.20001220703125,2,AL,Zach Eflin,621107,13774,13774
TEX,Rangers,4,4,14,15,,,,67.0,284,65,33,30,8,61,21,,3,4.12566,1.2974,8.25695,2.87742,2.86957,1.02765,0.214988,0.0749202,0.1400681659579277,,0.250243,0.300314,0.702508,3.86591,278.4,4.155223880597014,281.0,4.1940298507462686,1.05129,0.769558,720.72998046875,13,AL,Kumar Rocker,677958,31843,31843
ARI,Diamondbacks,7,6,21,21,,,,111.0,485,114,58,53,16,97,41,,1,4.32885,1.39801,7.90302,3.29932,2.39535,1.32082,0.201053,0.0839346,0.11711807548999786,,0.258659,0.298599,0.733893,4.42673,396.20000000000016,3.5693693693693707,415.0,3.7387387387387387,1.04779,1.23237,738.219970703125,15,NL,Eduardo Rodriguez,593958,13164,13164
MIL,Brewers,5,6,21,23,,,,104.0,446,97,57,52,13,93,41,,7,4.54058,1.33673,8.1024,3.5789,2.26393,1.13821,0.209049,0.0923387,0.11671005189418793,,0.244278,0.288408,0.679804,4.36526,399.50000000000006,3.841346153846154,393.0,3.7788461538461537,1.04414,0.773387,528.2000122070312,23,NL,Brandon Sproat,687075,33850,33850
NYM,Mets,7,6,21,21,,,,105.0,453,92,51,47,14,105,49,,3,4.03036,1.34682,9.01124,4.19568,2.14774,1.17663,0.231763,0.10791,0.12385302782058716,,0.230485,0.278897,0.739019,4.33026,419.59999999999997,3.996190476190476,397.0,3.780952380952381,1.04328,1.32539,223.52000427246094,25,NL,Kodai Senga,673540,31838,31838
STL,Cardinals,6,8,20,26,,,,112.0,492,113,60,55,10,82,46,,4,4.42737,1.41729,6.56912,3.66201,1.79386,0.835194,0.16657,0.0928559,0.07371455430984497,,0.256489,0.294419,0.685571,4.20947,426.00000000000006,3.8035714285714293,444.0,3.9642857142857144,1.04009,0.842302,999.0,28,NL,Andre Pallante,669467,26108,26108
ARI,Diamondbacks,6,5,20,25,,,,117.0,495,114,59,54,17,100,33,,3,4.14616,1.25569,7.67636,2.56917,2.98788,1.33389,0.201969,0.067596,0.13437261432409286,,0.247997,0.282372,0.720233,4.28852,452.3000000000002,3.865811965811967,456.0,3.8974358974358974,1.03144,1.45795,251.42999267578125,15,NL,Ryne Nelson,669194,26253,26253
ARI,Diamondbacks,6,5,15,21,,,,83.0,350,72,38,35,9,85,31,,8,3.82072,1.22991,9.20439,3.29666,2.79204,0.999209,0.243335,0.0871532,0.15618166327476501,,0.231104,0.289105,0.715204,3.93094,369.3,4.449397590361446,351.0,4.228915662650603,1.02736,1.4076,710.3599853515625,15,NL,Michael Soroka,647336,18383,18383
TBR,Rays,5,3,1,56,,,,54.0,221,44,22,20,5,70,17,,1,3.31075,1.1185,11.7329,2.79672,4.19522,0.880244,0.317957,0.0757902,0.24216632544994354,,0.214707,0.300741,0.732142,2.81325,309.70000000000005,5.735185185185186,291.0,5.388888888888889,1.0252,0.669985,149.2100067138672,12,AL,Griffin Jax,643377,20253,20253
TEX,Rangers,6,6,16,16,,,,94.0,395,89,49,45,15,86,26,,3,4.31176,1.21856,8.19394,2.46259,3.32737,1.42339,0.217413,0.065341,0.15207236260175705,,0.243694,0.280097,0.699816,4.3003,364.70000000000005,3.8797872340425537,360.0,3.8297872340425534,1.01742,0.814829,132.50999450683594,13,AL,Nathan Eovaldi,543135,9132,9132
NYM,Mets,3,4,13,19,,,,85.0,359,79,47,43,13,87,27,,5,4.55367,1.25403,9.17529,2.86728,3.2,1.3593,0.241175,0.0753672,0.1658078357577324,,0.242952,0.292711,0.675314,4.19001,341.70000000000005,4.0200000000000005,334.0,3.929411764705882,1.0157,0.4123,423.3599853515625,25,NL,Sean Manaea,640455,15873,15873
WSN,Nationals,4,5,14,16,,,,80.0,341,80,43,40,11,75,23,,4,4.46913,1.29286,8.47509,2.63455,3.2169,1.27646,0.220862,0.0686569,0.15220557898283005,,0.255042,0.30244,0.688211,4.12217,317.70000000000005,3.9712500000000004,326.0,4.075,1.01526,0.704106,999.0,24,NL,Foster Griffin,656492,16432,16432
BOS,Red Sox,5,3,4,37,,,,56.0,231,48,22,21,6,65,16,,2,3.29897,1.13575,10.3917,2.51345,4.13445,0.897661,0.28077,0.0679099,0.21286043524742126,,0.225722,0.297926,0.7402,3.07647,291.80000000000007,5.210714285714287,278.0,4.964285714285714,1.01336,1.02025,624.97998046875,3,AL,Garrett Whitlock,676477,20191,20191
ATL,Braves,5,5,17,17,,,,71.0,299,67,36,33,10,70,22,,5,4.23052,1.26741,8.99494,2.82409,3.18507,1.27295,0.23572,0.0740077,0.16171228885650635,,0.247436,0.299351,0.707388,4.1327,287.2,4.045070422535211,284.0,4.0,1.00763,0.879983,600.4400024414062,16,NL,Didier Fuentes,800311,30661,30661
ATH,Athletics,4,6,17,20,,,,91.0,388,91,52,47,14,79,27,,4,4.69225,1.29997,7.79875,2.69652,2.89216,1.39452,0.203018,0.070196,0.1328219324350357,,0.255039,0.291431,0.677047,4.45402,329.6,3.6219780219780224,338.0,3.7142857142857144,1.00309,0.510094,748.5800170898438,10,AL,Aaron Civale,650644,19479,19479
STL,Cardinals,6,7,21,26,,,,113.0,483,113,61,56,15,94,35,,4,4.48971,1.31828,7.50477,2.81829,2.66288,1.22233,0.194574,0.073069,0.12150490283966064,,0.255544,0.29333,0.687896,4.28985,428.90000000000003,3.795575221238938,441.0,3.9026548672566372,0.991587,0.815566,410.2300109863281,28,NL,Matthew Liberatore,669461,22294,22294
WSN,Nationals,4,5,18,20,,,,92.0,404,96,50,46,11,71,35,,4,4.49888,1.4211,6.9372,3.41047,2.03409,1.06577,0.175693,0.0863744,0.08931896835565567,,0.263112,0.300729,0.699232,4.41191,320.9,3.4880434782608694,342.0,3.717391304347826,0.990201,0.760391,999.0,24,NL,Andrew Alvarez,674841,29914,29914
MIL,Brewers,3,3,13,14,,,,66.0,277,63,33,30,8,56,19,,4,4.12868,1.25489,7.6289,2.62012,2.91166,1.12026,0.200767,0.0689526,0.13181397318840027,,0.249482,0.290318,0.699832,4.13504,269.2000000000001,4.07878787878788,269.0,4.075757575757576,0.989583,0.81355,999.0,23,NL,Coleman Crow,689441,27926,27926
MIA,Marlins,3,4,16,16,,,,72.0,310,69,36,33,9,69,26,,4,4.07474,1.3121,8.58917,3.23019,2.65903,1.12604,0.222798,0.083789,0.13900871574878693,,0.246143,0.296477,0.721221,4.08584,290.70000000000005,4.0375000000000005,291.0,4.041666666666667,0.960112,0.975617,281.45001220703125,20,NL,Max Meyer,676974,27474,27474
NYY,Yankees,6,3,0,51,,,,52.0,212,41,20,18,4,63,17,,1,3.16179,1.11606,11.0157,2.98653,3.68846,0.75812,0.2989,0.0810366,0.21786372363567352,,0.209967,0.288443,0.735577,2.86201,301.0,5.788461538461538,280.0,5.384615384615385,0.954397,0.68313,64.05999755859375,9,AL,David Bednar,670280,19569,19569
PIT,Pirates,3,3,9,40,,,,66.0,284,59,30,28,7,76,27,,3,3.75624,1.29463,10.3273,3.67489,2.81022,0.956724,0.268573,0.0955701,0.17300279438495636,,0.23199,0.303896,0.733961,3.57823,310.9000000000001,4.710606060606062,301.0,4.5606060606060606,0.940835,0.944821,748.4400024414062,27,NL,Mason Montgomery,682254,29770,29770
ATL,Braves,4,3,10,20,,,,69.0,297,66,35,32,7,67,26,,2,4.18419,1.34798,8.74083,3.45306,2.53133,0.951972,0.224801,0.0888075,0.13599347323179245,,0.24695,0.303595,0.702264,3.81402,302.9,4.389855072463768,304.0,4.405797101449275,0.940337,0.738766,999.0,16,NL,José Suarez,660761,19911,19911
