Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
TEX,Rangers,8,5,22,22,,,,118.0,478,98,50,46,17,131,29,,1,3.53196,1.07217,9.98145,2.21754,4.50113,1.26717,0.274065,0.0608879,0.21317684650421143,,0.218,0.269877,0.737788,3.52344,581.3,4.926271186440678,541.0,4.584745762711864,2.46907,2.24449,50.0099983215332,13,AL,Jacob deGrom,594798,10954,10954
DET,Tigers,9,7,23,23,,,,143.0,606,132,65,59,12,123,50,,6,3.74209,1.27303,7.7483,3.16333,2.44941,0.752383,0.203006,0.0828798,0.12012668699026108,,0.239673,0.288898,0.710288,3.68753,645.4000000000001,4.513286713286714,637.0,4.454545454545454,2.4638,2.35625,81.13999938964844,6,AL,Framber Valdez,664285,17295,17295
SEA,Mariners,9,7,23,23,,,,125.0,515,119,57,52,14,119,25,,5,3.74441,1.14585,8.58217,1.78502,4.80789,1.02873,0.231693,0.0481901,0.1835027150809765,,0.244548,0.296868,0.7036,3.43734,591.4,4.731199999999999,591.0,4.728,2.38771,1.60556,64.58000183105469,11,AL,George Kirby,669923,25436,25436
TEX,Rangers,8,8,24,24,,,,130.0,551,114,64,59,15,151,51,,7,4.1118,1.26791,10.4591,3.52303,2.96879,1.03996,0.273698,0.0921917,0.18150610476732254,,0.230642,0.301658,0.697306,3.65079,609.1,4.685384615384615,583.0,4.484615384615385,2.3743,1.51462,164.82000732421875,13,AL,MacKenzie Gore,669022,22201,22201
NYY,Yankees,9,6,21,23,,,,111.0,463,97,50,46,12,118,36,,4,3.69438,1.19772,9.53558,2.8821,3.30855,0.9857,0.253977,0.0767639,0.17721329629421234,,0.230182,0.290553,0.719597,3.51846,537.6000000000001,4.843243243243244,515.0,4.63963963963964,2.36179,1.78048,116.62999725341797,9,AL,Cam Schlittler,693645,32095,32095
ATL,Braves,8,5,18,19,,,,107.0,442,95,44,40,12,127,29,,8,3.38228,1.15348,10.6678,2.41568,4.41609,1.01625,0.286909,0.0649689,0.2219398245215416,,0.233597,0.310021,0.748437,3.25978,540.2000000000002,5.048598130841123,522.0,4.878504672897196,2.314,2.3985,39.36000061035156,16,NL,Chris Sale,519242,10603,10603
LAA,Angels,8,7,20,25,,,,120.0,514,105,57,52,8,119,52,,8,3.91065,1.31,8.90451,3.90368,2.28105,0.631838,0.231027,0.101281,0.1297461986541748,,0.231632,0.295975,0.691334,3.56779,574.6,4.788333333333333,554.0,4.616666666666666,2.24601,1.71344,321.80999755859375,1,AL,José Soriano,667755,22100,22100
TBR,Rays,7,5,17,17,,,,94.0,390,81,38,35,10,100,29,,1,3.34477,1.16512,9.56365,2.77078,3.45161,0.964026,0.256743,0.0743835,0.18235952407121658,,0.224683,0.283537,0.749796,3.37277,472.0,5.0212765957446805,450.0,4.787234042553192,2.22452,2.09055,182.99000549316406,12,AL,Shane McClanahan,663556,21483,21483
NYM,Mets,10,8,26,26,,,,135.0,566,113,64,59,18,148,52,,6,3.9245,1.22148,9.85766,3.45219,2.85548,1.17152,0.260979,0.0913957,0.1695832908153534,,0.222417,0.278438,0.719278,3.92555,605.8,4.4874074074074075,563.0,4.17037037037037,2.20337,1.87073,56.36000061035156,25,NL,Freddy Peralta,642547,18679,18679
BOS,Red Sox,8,7,22,22,,,,122.0,519,122,58,54,15,121,33,,4,3.94692,1.26975,8.90142,2.44048,3.64741,1.13273,0.233159,0.0639246,0.16923460364341736,,0.253657,0.309275,0.725225,3.70879,532.1000000000001,4.361475409836067,546.0,4.475409836065574,2.18248,1.97111,138.08999633789062,3,AL,Sonny Gray,543243,12768,12768
