Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
BAL,Orioles,7.9343,8.2576,23.4,23.4,0.0,0.0,,134.68,578.274,129.419,69.5034,64.6278,18.6457,129.249,51.6352,,6.4668,4.31876,1.34433,8.6371,3.45053,2.50313,1.246,0.223509,0.0892919,0.1342170089483261,,0.2488,0.297556,0.719913,4.30978,513.9,3.8066666666666666,512.0,3.7925925925925927,1.45308,1.20641,10.7826,186.92999267578125,2.0,AL,Shane Baz,669358.0,22264,22264
ATH,Athletics,7.8776,8.471,23.4,23.4,0.0,0.0,,137.258,593.934,137.03,73.1286,67.9716,18.8806,116.972,51.6716,,7.9605,4.45689,1.3748,7.66982,3.3881,2.26375,1.238,0.196944,0.0869989,0.10994487255811691,,0.256466,0.296524,0.712233,4.52231,477.90000000000015,3.4883211678832127,492.0,3.591240875912409,1.44409,1.40144,10.8463,642.52001953125,10.0,AL,Luis Severino,622663.0,15890,15890
BOS,Red Sox,6.2212,6.211,16.9,26.5296,0.0,0.5438,,103.386,443.41,96.5685,49.0029,45.0013,10.867,99.7068,42.8327,,5.8791,3.91747,1.34836,8.67972,3.72869,2.32782,0.946,0.224864,0.0965984,0.12826527655124664,,0.244664,0.301634,0.727919,3.98625,431.7000000000001,4.191262135922331,429.0,4.165048543689321,1.39992,1.55837,7.8389,266.4800109863281,3.0,AL,Connelly Early,813349.0,33666,33666
CHW,White Sox,6.8278,8.7293,22.1,22.1,0.0,0.0,,131.069,564.708,131.87,68.624,63.687,18.1312,106.691,46.6612,,6.2654,4.37315,1.36212,7.32607,3.20405,2.2865,1.245,0.188931,0.0826289,0.10630201548337936,,0.257668,0.293929,0.717655,4.51688,459.8000000000001,3.5099236641221383,476.0,3.633587786259542,1.39558,1.22854,10.681,999.0,4.0,AL,Davis Martin,663436.0,21448,21448
SDP,Padres,3.4719,1.9266,0.0,54.9877,26.74,1.2662,,54.9877,217.773,31.8814,14.5453,13.1862,4.0141,90.4685,21.8542,,1.9983,2.15823,0.977229,14.8072,3.57694,4.13964,0.657,0.415426,0.100353,0.31507256627082825,,0.164404,0.280248,0.814499,2.09497,521.5999999999999,9.483636363636363,470.0,8.545454545454545,1.39299,1.40167,0.0,27.860000610351562,29.0,NL,Mason Miller,695243.0,31757,31757
NYY,Yankees,6.9867,6.1555,16.9,36.1593,0.0,0.5516,,109.233,465.441,100.886,50.483,46.4851,13.812,111.61,39.0035,,4.2961,3.83002,1.28065,9.19581,3.21359,2.86154,1.138,0.239794,0.083799,0.15599484741687775,,0.238987,0.293456,0.741638,3.92459,470.79999999999984,4.31926605504587,462.0,4.238532110091743,1.38505,1.38184,7.2544,285.04998779296875,9.0,AL,Will Warren,701542.0,30182,30182
HOU,Astros,7.2411,7.8332,21.93,21.93,0.0,0.0,,124.369,534.232,119.193,63.9205,59.4698,18.1994,119.14,45.1175,,5.2675,4.30354,1.32115,8.62156,3.26494,2.64065,1.317,0.223011,0.084453,0.13855797797441483,,0.246345,0.291461,0.723108,4.33694,474.79999999999995,3.8290322580645157,474.0,3.8225806451612905,1.37937,1.21883,9.8413,237.9499969482422,21.0,AL,Mike Burrows,681347.0,24728,24728
TBR,Rays,4.7239,4.2537,6.55,53.4512,1.807,10.1269,,81.8347,340.857,68.1808,33.0414,30.2473,8.21984,96.4868,30.34,,3.0664,3.32653,1.2039,10.6114,3.33673,3.18018,0.904,0.283071,0.0890109,0.194060280919075,,0.221762,0.295747,0.752524,3.30748,474.6000000000001,5.787804878048782,449.0,5.475609756097561,1.36545,1.32847,2.9903,149.2100067138672,12.0,AL,Griffin Jax,643377.0,20253,20253
HOU,Astros,5.8636,6.3791,18.06,18.06,0.0,0.0,,99.4611,431.876,94.9668,51.3323,47.464,12.0679,95.7422,44.6638,,4.9083,4.2949,1.40387,8.66349,4.04152,2.14362,1.092,0.221689,0.103418,0.11827100068330765,,0.248407,0.302006,0.71942,4.28247,380.0,3.8383838383838382,381.0,3.8484848484848486,1.36115,0.985257,7.6403,999.0,21.0,AL,Tatsuya Imai,837227.0,37124,37124
SFG,Giants,7.9796,9.2188,24.7,24.7,0.0,0.0,,143.619,619.047,131.383,71.3966,66.6908,19.7236,150.829,58.537,,5.5696,4.17924,1.32239,9.45182,3.66827,2.57664,1.236,0.243647,0.0945599,0.14908689260482788,,0.236752,0.290487,0.730243,4.15916,586.0000000000001,4.0694444444444455,567.0,3.9375,1.33689,1.62644,11.9978,166.44000244140625,30.0,NL,Robbie Ray,592662.0,11486,11486
LAA,Angels,4.3934,4.5467,13.0,13.0,0.0,0.0,,73.8796,311.072,66.4348,33.5057,30.9105,8.92301,77.9566,26.9258,,2.7536,3.76551,1.26369,9.49666,3.2801,2.89524,1.087,0.250606,0.0865581,0.1640482023358345,,0.236093,0.295671,0.740152,3.80006,331.30000000000007,4.477027027027028,319.0,4.3108108108108105,1.33579,1.24172,6.6283,397.1099853515625,1.0,AL,Grayson Rodriguez,680570.0,24492,24492
SFG,Giants,7.1133,7.6832,20.8,27.2198,0.0,0.559,,122.095,527.277,114.873,58.0322,53.1927,12.1553,118.217,51.8998,,4.8357,3.92099,1.36593,8.71416,3.82569,2.2778,0.896,0.224204,0.0984299,0.12577393651008606,,0.24413,0.301961,0.726121,3.88693,525.2000000000002,4.304918032786887,523.0,4.286885245901639,1.32747,1.51412,9.7552,690.0999755859375,30.0,NL,Landen Roupp,694738.0,30076,30076
CHC,Cubs,7.5681,8.6614,23.4,23.4,0.0,0.0,,134.997,575.925,139.989,72.7593,68.1083,21.4195,107.61,36.9519,,4.0453,4.54066,1.31071,7.1742,2.46352,2.91217,1.428,0.186848,0.064161,0.12268698215484619,,0.261698,0.292117,0.708943,4.51461,469.70000000000005,3.4792592592592597,495.0,3.6666666666666665,1.32317,1.08213,10.2629,504.4700012207031,17.0,NL,Jameson Taillon,592791.0,11674,11674
TEX,Rangers,6.8873,7.9733,22.1,22.1,0.0,0.0,,119.441,517.285,111.337,62.8171,58.6806,16.5492,116.571,53.1339,,5.4294,4.42164,1.37701,8.78375,4.00369,2.19391,1.247,0.225352,0.102717,0.12263491004705429,,0.242712,0.291116,0.719408,4.45535,442.89999999999986,3.721848739495797,434.0,3.6470588235294117,1.3018,0.952034,8.6724,230.7100067138672,13.0,AL,Jack Leiter,683004.0,30146,30146
ARI,Diamondbacks,6.8809,7.1372,19.65,28.5451,0.0,0.5516,,114.178,491.112,108.55,57.1849,53.0727,13.3335,113.256,43.2654,,7.8426,4.1834,1.32963,8.92728,3.41035,2.6177,1.051,0.230611,0.0880968,0.14251433312892914,,0.246702,0.303803,0.710713,4.01225,477.29999999999995,4.186842105263158,478.0,4.192982456140351,1.27907,1.42258,7.9495,710.3599853515625,15.0,NL,Michael Soroka,647336.0,18383,18383
MIA,Marlins,5.5984,6.0464,16.9,16.9,0.0,0.0,,96.33,414.144,92.9544,46.0196,42.1157,10.3822,84.0382,38.8372,,3.2461,3.93482,1.36813,7.85159,3.62851,2.16386,0.97,0.20292,0.093777,0.10914319008588791,,0.249837,0.297407,0.731491,4.10205,387.6000000000001,4.0375000000000005,392.0,4.083333333333333,1.26284,1.49635,8.3486,999.0,20.0,NL,Robby Snelling,702281.0,sa3020707,sa3020707
BAL,Orioles,7.7429,8.4385,23.4,23.4,0.0,0.0,,134.339,583.576,135.043,71.2902,66.121,17.9417,115.965,50.2861,,8.4566,4.42975,1.37956,7.76905,3.3689,2.30611,1.202,0.198715,0.0861689,0.1125459298491478,,0.257307,0.299549,0.711807,4.45672,477.19999999999993,3.561194029850746,494.0,3.6865671641791047,1.25624,1.04357,10.4417,359.3599853515625,2.0,AL,Chris Bassitt,605135.0,12304,12304
CIN,Reds,4.0654,3.9605,11.7,11.7,0.0,0.0,,66.2484,278.823,55.8179,30.9877,29.0564,9.92254,79.5132,24.3605,,3.7251,3.94738,1.21027,10.8021,3.30943,3.26402,1.348,0.285174,0.087369,0.19780541211366653,,0.222615,0.284531,0.742088,3.95362,295.80000000000007,4.481818181818183,276.0,4.181818181818182,1.25475,1.218,5.6918,444.32000732421875,18.0,NL,Hunter Greene,668881.0,22182,22182
STL,Cardinals,7.129,7.8123,20.8,27.2198,0.0,0.5637,,124.538,528.711,132.896,61.9183,56.7699,14.8754,85.2287,31.681,,4.0282,4.10258,1.3215,6.15921,2.28949,2.69021,1.075,0.161201,0.0599212,0.10127972066402435,,0.269566,0.300386,0.714141,4.1794,460.7,3.6856,496.0,3.968,1.25419,1.42912,9.7442,715.3800048828125,28.0,NL,Michael McGreevy,700241.0,29869,29869
NYY,Yankees,6.2411,5.1446,14.3,31.9543,0.0,0.5516,,96.2048,405.284,86.549,42.4729,39.176,12.5387,100.592,33.1205,,3.8186,3.66493,1.2439,9.41041,3.09844,3.03715,1.173,0.248201,0.0817217,0.16647932678461075,,0.234967,0.289993,0.755975,3.89016,419.3000000000001,4.367708333333335,406.0,4.229166666666667,1.24138,1.41772,6.8053,232.55999755859375,9.0,AL,Ryan Weathers,677960.0,23796,23796
TBR,Rays,6.6131,8.6485,20.96,29.0464,0.0,0.5676,,127.352,548.798,133.6,68.2055,63.4789,18.0557,97.6175,37.972,,4.7894,4.48607,1.34723,6.89865,2.68349,2.57078,1.276,0.177875,0.0691912,0.10868389904499054,,0.264013,0.295993,0.706568,4.45253,441.0000000000002,3.4724409448818916,472.0,3.716535433070866,1.23755,0.950871,8.9436,738.3400268554688,12.0,AL,Nick Martinez,607259.0,12730,12730
CHW,White Sox,4.2571,3.6255,2.6,65.9951,4.008,10.8027,,75.8751,313.481,60.2602,28.8855,26.3812,7.14912,92.0199,29.5923,,2.5464,3.12923,1.18422,10.915,3.51012,3.10959,0.848,0.293542,0.094399,0.1991431787610054,,0.214188,0.291542,0.763579,3.20518,469.29999999999995,6.175,438.0,5.7631578947368425,1.2258,1.24169,0.9709,506.67999267578125,4.0,AL,Grant Taylor,691799.0,33927,33927
MIL,Brewers,6.7616,7.3117,19.65,27.7364,0.0,0.5091,,115.565,495.642,104.217,57.0692,53.2728,16.2048,121.196,48.3834,,5.8327,4.1488,1.32047,9.43854,3.76802,2.50491,1.262,0.244523,0.0976176,0.14690542966127396,,0.236092,0.28949,0.735343,4.26799,475.20000000000016,4.096551724137933,456.0,3.9310344827586206,1.21661,1.47779,8.3896,446.55999755859375,23.0,NL,Kyle Harrison,690986.0,27758,27758
COL,Rockies,5.9917,9.1854,21.93,21.93,0.0,0.0,,125.025,550.046,145.375,75.5783,70.8491,19.8235,93.7697,35.1414,,5.4235,5.10009,1.44384,6.75004,2.52966,2.66835,1.427,0.170476,0.0638881,0.1065879836678505,,0.28534,0.31714,0.686932,4.66971,370.0,2.96,433.0,3.464,1.21586,1.18447,8.0264,999.0,19.0,NL,Kyle Freeland,607536.0,16256,16256
STL,Cardinals,7.1913,8.2045,20.8,31.2321,0.0,0.5637,,129.439,560.539,127.048,65.9244,61.0478,16.1223,115.357,48.4945,,7.4781,4.24471,1.35618,8.02089,3.37187,2.37876,1.121,0.205797,0.086514,0.11928252130746841,,0.251797,0.297319,0.716593,4.26922,496.59999999999997,3.849612403100775,506.0,3.9224806201550386,1.21552,1.22341,9.5077,414.6700134277344,28.0,NL,Dustin May,669160.0,19716,19716
BOS,Red Sox,4.7048,4.7451,13.0,19.4198,0.0,0.5438,,78.2429,331.639,71.5034,37.3703,34.7661,10.4324,79.6104,29.0042,,2.8863,3.99902,1.28456,9.1573,3.33625,2.74479,1.2,0.240051,0.0874571,0.15259423106908798,,0.238545,0.291222,0.73499,4.05626,335.00000000000006,4.294871794871796,328.0,4.205128205128205,1.2112,1.20687,5.8757,673.0,3.0,AL,Payton Tolle,801139.0,35466,35466
KCR,Royals,6.7838,7.4962,20.8,20.8,0.0,0.0,,117.594,506.218,119.22,61.3682,56.9812,16.1366,96.7864,41.7858,,4.3029,4.36101,1.36917,7.40748,3.19805,2.31625,1.235,0.191195,0.0825451,0.10865002870559692,,0.259102,0.296895,0.71985,4.44871,423.0000000000001,3.5847457627118655,438.0,3.711864406779661,1.20099,1.36295,9.1431,298.0,7.0,AL,Noah Cameron,702070.0,30184,30184
NYM,Mets,6.538,6.3089,15.6,39.6741,0.0,0.5691,,108.567,459.852,97.5295,51.2719,47.7034,14.7651,110.591,39.6388,,5.7873,3.95453,1.26345,9.16777,3.28599,2.78996,1.224,0.240492,0.086199,0.15429268777370453,,0.235336,0.286313,0.737326,4.1211,455.2999999999999,4.177064220183485,438.0,4.018348623853211,1.19678,1.30966,6.6696,423.3599853515625,25.0,NL,Sean Manaea,640455.0,15873,15873
ARI,Diamondbacks,7.0076,7.8622,20.96,27.4291,0.0,0.5516,,122.218,530.263,123.904,64.5078,59.9793,15.7525,104.595,47.3664,,3.3767,4.41682,1.40135,7.70232,3.48802,2.20822,1.16,0.197252,0.0893262,0.10792569071054459,,0.258391,0.301112,0.715485,4.34463,447.60000000000025,3.6688524590163953,466.0,3.819672131147541,1.19676,1.1561,8.5453,738.219970703125,15.0,NL,Eduardo Rodriguez,593958.0,13164,13164
NYM,Mets,6.0731,5.3774,16.9,16.9,0.0,0.5691,,93.4764,403.611,89.3753,42.2039,38.2084,9.03605,82.6047,39.1479,,4.3271,3.67874,1.37493,7.95326,3.7692,2.11007,0.87,0.204664,0.0969941,0.10767000168561935,,0.248171,0.29922,0.744949,4.01968,387.1,4.16236559139785,389.0,4.182795698924731,1.16622,1.4963,8.3607,452.0400085449219,25.0,NL,David Peterson,656849.0,20302,20302
BOS,Red Sox,6.3532,7.7635,20.8,20.8,0.0,0.0,,114.489,501.265,120.608,62.2081,57.3804,13.1535,92.3921,44.4722,,5.9525,4.51069,1.44189,7.26297,3.49597,2.07752,1.034,0.184318,0.0887199,0.09559793770313263,,0.267518,0.311196,0.701407,4.336,403.0999999999999,3.535964912280701,435.0,3.8157894736842106,1.16405,1.07246,8.2956,421.4100036621094,3.0,AL,Brayan Bello,678394.0,23920,23920
MIA,Marlins,4.598,4.9158,13.0,19.4198,0.0,0.5303,,79.2356,337.076,78.4796,37.4879,34.3811,8.73352,68.9594,23.389,,5.0524,3.90519,1.28564,7.83277,2.65665,2.94837,0.992,0.204581,0.0693879,0.13519324362277985,,0.25428,0.302007,0.718201,3.90425,329.09999999999997,4.165822784810127,336.0,4.253164556962025,1.15214,1.25165,6.1888,604.1099853515625,20.0,NL,Braxton Garrett,666129.0,21844,21844
