Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
ATL,Braves,1,1,0,19,0,1,,19.0,85,19,10,10,2,17,10,,1,4.52075,1.5062,8.06155,4.59909,1.75286,1.06899,0.200762,0.114534,0.08622775226831436,,0.255771,0.304687,0.716368,4.5999,71.6,3.7684210526315787,74.0,3.8947368421052633,-0.0317443,-0.0135634,0,999.0,16,NL,Rolddy Muñoz,691548,27407,27407
SDP,Padres,1,1,0,23,0,1,,23.0,99,21,12,11,3,21,11,,1,4.43063,1.43034,8.32693,4.4872,1.85571,1.261,0.210671,0.113526,0.0971449539065361,,0.241936,0.284158,0.731634,4.72756,88.70000000000002,3.8565217391304354,86.0,3.739130434782609,-0.0347554,-0.0277466,0,999.0,29,NL,Garrett Hawkins,678184,sa3017383,sa3017383
MIL,Brewers,2,3,0,39,0,3,,39.0,170,38,21,20,6,34,18,,2,4.58027,1.42964,7.96429,4.13669,1.92528,1.28779,0.201628,0.104726,0.09690146893262863,,0.249409,0.28901,0.715098,4.72437,136.0,3.4871794871794872,137.0,3.5128205128205128,-0.0349756,-0.0508405,0,999.0,23,NL,Brian Fitzpatrick,702153,31624,31624
CHC,Cubs,1,1,0,24,0,1,,24.0,108,23,14,13,3,21,13,,1,4.73832,1.51596,8.01155,4.95517,1.61681,1.12138,0.19923,0.123224,0.07600562274456024,,0.248883,0.293561,0.705589,4.7422,84.90000000000002,3.537500000000001,85.0,3.5416666666666665,-0.035411,-0.0671832,0,999.0,17,NL,Corbin Martin,656686,19884,19884
WSN,Nationals,2,3,0,46,1,8,,46.0,207,45,25,23,4,38,26,,2,4.4838,1.54718,7.41583,5.07014,1.46265,0.75339,0.183801,0.125663,0.05813765525817871,,0.254219,0.303856,0.70217,4.41441,203.20000000000005,4.417391304347827,207.0,4.5,-0.0354987,-0.059507,0,999.0,24,NL,Cionel Pérez,672335,19614,19614
MIA,Marlins,1,1,0,16,0,1,,16.0,72,16,9,9,2,14,9,,1,4.78025,1.50681,8.1226,4.76897,1.70322,1.258,0.201892,0.118536,0.08335650712251663,,0.250642,0.293181,0.716678,4.86497,54.20000000000001,3.3875000000000006,56.0,3.5,-0.0359861,-0.0270464,0,999.0,20,NL,Zach Brzykcy,694350,27783,27783
PIT,Pirates,1,2,0,32,0,1,,32.0,144,30,18,17,4,31,20,,2,4.72928,1.55813,8.79826,5.61508,1.5669,1.07782,0.216195,0.137976,0.07821859419345856,,0.244142,0.298423,0.712086,4.82234,109.60000000000002,3.4250000000000007,108.0,3.375,-0.036305,-0.050118,0,999.0,27,NL,Cam Sanders,676742,23479,23479
ATL,Braves,1,1,0,27,0,1,,27.0,118,30,15,14,4,19,8,,1,4.70843,1.41348,6.36115,2.77796,2.28986,1.23138,0.161755,0.0706397,0.09111545234918594,,0.273933,0.303491,0.69307,4.5093,87.60000000000002,3.2444444444444454,98.0,3.6296296296296298,-0.0367047,-0.0431496,0,999.0,16,NL,Anthony Molina,683627,26952,26952
HOU,Astros,1,1,0,29,0,1,,29.0,129,29,16,15,4,25,13,,2,4.6048,1.42597,7.70262,4.08924,1.88363,1.1897,0.195086,0.103569,0.0915166437625885,,0.25203,0.292777,0.703896,4.73762,99.00000000000003,3.4137931034482767,102.0,3.5172413793103448,-0.0374642,-0.0588661,0,999.0,21,AL,Jayden Murray,681151,26482,26482
CHW,White Sox,1,2,0,29,0,0,,29.0,128,26,15,14,4,29,17,,2,4.44553,1.47437,8.96327,5.2292,1.71408,1.204,0.223982,0.130672,0.09331034123897552,,0.234686,0.283753,0.734259,4.80199,98.80000000000004,3.4068965517241394,94.0,3.2413793103448274,-0.0376836,-0.0215023,0,999.0,4,AL,Wikelman González,682790,26641,26641
WSN,Nationals,2,2,0,37,0,1,,37.0,163,35,21,20,5,33,19,,1,4.83928,1.48364,8.18253,4.6483,1.76033,1.29973,0.204509,0.116177,0.08833242207765579,,0.248368,0.289651,0.706468,4.84887,131.3,3.548648648648649,130.0,3.5135135135135136,-0.0383273,-0.0733953,0,999.0,24,NL,Andre Granillo,701552,29542,29542
COL,Rockies,1,1,0,18,0,0,,18.0,78,20,12,11,3,12,6,,1,5.53883,1.49774,6.3958,3.10352,2.06082,1.76633,0.159396,0.0773457,0.08204982429742813,,0.283019,0.302096,0.68534,5.41952,47.30000000000001,2.627777777777778,54.0,3.0,-0.0383656,-0.0465166,0,999.0,19,NL,Valente Bellozo,678368,23899,23899
HOU,Astros,1,1,0,24,0,1,,24.0,106,23,13,12,3,22,12,,1,4.50612,1.45959,8.2177,4.51784,1.81894,1.1844,0.206702,0.113638,0.09306339919567108,,0.24846,0.294006,0.719566,4.70935,89.90000000000002,3.745833333333334,90.0,3.75,-0.039575,-0.0413587,0,999.0,21,AL,Cody Bolton,675989,23265,23265
STL,Cardinals,1,2,0,30,0,1,,30.0,134,32,17,15,4,21,12,,1,4.55304,1.43296,6.18607,3.41818,1.80976,1.05498,0.156659,0.0865638,0.0700954720377922,,0.264449,0.294515,0.697626,4.49937,96.60000000000001,3.22,105.0,3.5,-0.0403462,-0.0725874,0,999.0,28,NL,Jared Shuster,694363,27472,27472
SEA,Mariners,1,1,0,24,0,1,,24.0,106,22,12,11,3,21,13,,1,4.13381,1.48152,8.03791,4.91112,1.63667,0.992,0.201395,0.123051,0.07834373414516449,,0.243784,0.291174,0.739696,4.56916,87.50000000000001,3.645833333333334,85.0,3.5416666666666665,-0.0414257,-0.0396672,0,999.0,11,AL,Robinson Ortiz,673662,sa3004006,sa3004006
ARI,Diamondbacks,2,3,0,42,0,6,,42.0,185,41,22,20,4,37,20,,5,4.26864,1.43576,7.98183,4.23141,1.88633,0.845497,0.201931,0.10705,0.09488130360841751,,0.253392,0.308019,0.704278,4.32642,178.00000000000003,4.238095238095239,181.0,4.309523809523809,-0.0416926,-0.0240179,0,999.0,15,NL,Brandyn Garcia,805299,33568,33568
CIN,Reds,2,3,0,32,0,1,,32.0,146,31,19,18,4,32,20,,3,5.02865,1.58533,8.86514,5.69802,1.55583,1.1878,0.217011,0.139483,0.07752829790115356,,0.24881,0.302662,0.699186,5.01666,106.00000000000003,3.312500000000001,107.0,3.34375,-0.0433623,-0.0632392,0,999.0,18,NL,Luis Mey,682825,25620,25620
